group_id,分类,分类中文,日文母故事名,网站显示文本,子剧情数量,出现次数,source_sha256,children_sha256
scene0:f6076cb7f768a1e2,scene0,scene0,(DAY.10),(第10天),1,1,f6076cb7f768a1e29bf3d291793a4dcc504a93585a81481008520b0c752ca8b6,8026bc4a7f2b6a67d3aa15eb280a41b90e663def16547397525e99138bd03aa0
scene0:327798fc9d2c8fe5,scene0,scene0,Film.0,Film.0,6,16,327798fc9d2c8fe59b391cea2c5c6545a08cebbd849fd452bd3cb34b0dbb5bea,e2704016c32fbc1af887b68fbeb2bd25e472dff562e28a2bde750eb18bbb9859
scene0:f85e265ca896933c,scene0,scene0,Film.1,Film.1,13,34,f85e265ca896933c597f1064d676e95f22e92408aa12cf2e07d0f57ac5d3128d,05c9443ffbf02fd07e7fff9fa82327b4c33d5594916d60af8531e12accbd2913
scene0:2d0021c5fed97045,scene0,scene0,Film.1 DAY.1(2回目),Film.1 第1天(第二次),1,3,2d0021c5fed97045c247254bbdf1371e9fd3e0c39b8854e255dbfc90fcb17aa9,dd5116a02941563e32260eba217a4539bae45d718735608d00f96072213b45d8
scene0:d86adc583d1fb4d8,scene0,scene0,Film.1 MT,Film.1 主时间线,5,13,d86adc583d1fb4d8ab3c2066d1dd0f882c665374bcd519e4020a0addb15fe3de,502e56d55625a62da6c5f134988c91b680ccaff10fc70527f584efa4be348e4c
scene0:569e7580618336ee,scene0,scene0,Film.10,Film.10,2,3,569e7580618336eec7374a5670ab15512773a47d88e194b4289f9f604c845f63,845ed68f8f90c6fb0d1c5738ddf537beb7f3316b94f15419d259d3bc75ef2770
scene0:d9261a526d146cf0,scene0,scene0,Film.11,Film.11,6,8,d9261a526d146cf0dce419b2431fb8d49b411c9a847e9634006fc6b8cef70564,31e6c6a6ca03453b6865c0ae8e6d7dc17548a1340683469084107cd31ba7de49
scene0:88bfe76b4ce15c5f,scene0,scene0,Film.12,Film.12,8,15,88bfe76b4ce15c5f01318994ffbe2c08ba542593b36c153af82abe51fa37237b,5730a919b9ee3288ef82d200dbc019ca041b5181d64995e0db9ce34f2a5c23ab
scene0:2ece82d051d48021,scene0,scene0,Film.12 DAY.17(2回目),Film.12 第17天(第二次),1,3,2ece82d051d4802187a88a524b5414c7f584a55926148b25492823aad139fc0d,5d1c700fed9b380e207fec6808f8281985e48778116820471342de176955b95b
scene0:0583e4df68fd9e9b,scene0,scene0,Film.12 MTDAY.??-1,Film.12 MTDAY.??-1,1,1,0583e4df68fd9e9bfe4dc74b97ff5623d298d2dc1925e9dd72cb97ec19154002,9e75486f5cddaf0270d9ede137b9361e61783566a810559f042de89d8606fce4
